Freq  Med_P1P2  Med_P1P3  Med_P1P4  Med_P2P3  Med_P2P4  Med_P3P4
788	-46.769842	-46.703008	-46.415143	-45.66955	-46.729788	-46.777926
792	-47.258299	-47.039977	-46.77912	-45.684157	-47.110715	-46.744578
796	-47.641706	-47.360042	-47.22982	-45.904362	-47.581947	-46.737459
800	-47.780334	-47.596967	-47.496097	-46.071101	-47.79935	-46.664011
804	-47.944178	-47.70808	-47.850244	-46.323368	-47.962506	-46.717707
808	-47.87684	-47.812165	-48.099388	-46.644122	-47.949828	-46.706362
812	-47.83256	-47.885751	-48.324462	-47.195646	-48.038847	-47.134141
816	-47.812487	-48.068704	-48.565154	-48.009817	-48.171917	-47.793057
820	-47.89163	-48.108115	-48.464697	-49.002854	-48.127269	-48.653346
824	-47.724386	-47.862738	-48.129474	-49.677388	-47.764854	-49.495951
828	-47.345848	-47.310066	-47.254578	-49.233349	-47.241395	-49.479369
832	-46.656891	-46.340317	-46.117264	-47.535783	-46.333244	-48.051893
836	-45.720352	-45.19942	-45.015824	-45.432625	-45.305435	-46.059709
840	-44.773111	-44.303395	-44.123427	-43.867256	-44.343633	-44.300685
844	-44.039323	-43.713746	-43.469747	-42.833384	-43.627988	-43.086478
848	-43.520182	-43.370577	-43.214862	-42.278966	-43.264011	-42.418926
852	-43.257029	-43.36139	-43.219593	-42.245205	-43.152209	-42.154073
856	-43.309347	-43.492714	-43.299196	-42.529947	-43.257259	-42.222285
860	-43.416786	-43.732441	-43.564233	-42.929018	-43.370898	-42.512722
864	-43.556194	-43.961144	-43.853706	-43.54416	-43.683568	-42.965535
868	-43.755867	-44.228202	-44.171979	-44.077678	-44.016448	-43.464557
872	-44.010063	-44.606878	-44.516986	-44.74183	-44.359388	-44.117043
876	-44.305232	-44.91941	-44.923084	-45.529039	-44.753406	-44.823317
880	-44.764476	-45.387472	-45.331387	-46.413306	-45.264003	-45.795408
884	-45.518153	-46.165173	-45.952317	-47.61534	-46.103438	-47.127986
888	-46.846137	-47.16611	-46.866486	-48.880717	-47.21875	-48.805662
892	-48.372646	-48.376321	-47.826359	-49.842611	-48.482933	-50.240901
896	-49.981239	-49.327191	-48.633227	-49.613495	-49.538256	-50.594222
900	-50.885027	-49.672887	-49.131744	-48.555554	-49.897915	-49.395678
904	-50.468547	-49.135465	-49.053978	-47.169418	-49.424984	-47.547083
908	-48.775392	-47.992868	-48.357213	-46.002155	-48.266586	-45.893154
912	-47.056191	-46.69373	-47.408318	-45.205851	-46.977278	-44.838291
916	-45.848599	-45.7537	-46.546467	-44.889047	-45.982495	-44.301925
920	-45.105716	-45.202452	-45.862746	-44.869066	-45.379985	-44.309918
924	-44.837648	-45.051744	-45.502536	-45.212741	-45.08477	-44.695484
928	-44.887164	-45.198502	-45.411449	-45.694033	-45.131898	-45.296478
932	-45.19276	-45.523895	-45.480212	-46.387445	-45.468131	-46.281798
936	-45.793249	-46.192044	-45.694859	-47.149207	-45.849655	-47.205108
940	-46.657626	-46.973052	-46.133938	-47.814738	-46.516518	-48.274211
944	-47.653695	-47.828931	-46.677469	-48.438974	-47.265051	-49.236105
948	-48.56079	-48.518348	-47.269736	-48.79202	-47.927688	-49.85878
952	-49.416761	-49.111901	-47.721217	-48.848747	-48.55289	-50.093776
956	-50.130936	-49.494251	-48.173525	-48.780398	-49.125635	-50.017756
960	-50.732987	-49.833654	-48.609112	-48.427078	-49.579091	-49.4457
964	-51.119793	-50.026805	-49.358931	-48.215094	-49.982341	-48.964776
