Freq  Med_P1P2  Med_P1P3  Med_P1P4  Med_P1P5  Med_P1P6  Med_P1P7  Med_P1P8  Med_P2P3  Med_P2P4  Med_P2P5  Med_P2P6  Med_P2P7  Med_P2P8  Med_P3P4  Med_P3P5  Med_P3P6  Med_P3P7  Med_P3P8  Med_P4P5  Med_P4P6  Med_P4P7  Med_P4P8  Med_P5P6  Med_P5P7  Med_P5P8  Med_P6P7  Med_P6P8  Med_P7P8
500	-45.853881	-57.746945	-59.612673	-62.587328	-59.435232	-59.193621	-43.862617	-47.401336	-55.669831	-60.63915	-61.737512	-61.054021	-63.543986	-46.212944	-56.764978	-59.988272	-63.467001	-59.534954	-48.231539	-57.759577	-62.347234	-66.944445	-46.923581	-58.03922	-62.060471	-48.367594	-58.688444	-47.626364
504	-45.413379	-56.221998	-60.664781	-64.520809	-60.972214	-56.689785	-44.000371	-46.752846	-55.533408	-63.342292	-63.437191	-60.966564	-60.12869	-45.892649	-56.094211	-62.234421	-66.134637	-59.896359	-47.595681	-58.778015	-67.017985	-71.435688	-46.456943	-57.871011	-66.494526	-48.034346	-58.560244	-47.364497
508	-44.835765	-55.639193	-62.135526	-65.742043	-63.76805	-55.408607	-43.815397	-46.242433	-56.10551	-67.608047	-65.79551	-61.29531	-57.570009	-45.410071	-56.317861	-66.683359	-67.987779	-61.315613	-47.100058	-60.371541	-76.683135	-69.599082	-45.874	-58.178582	-72.70552	-47.699215	-59.110757	-46.912374
512	-44.179788	-55.61664	-66.764707	-66.163667	-70.284686	-54.830579	-43.378018	-45.683789	-57.722968	-75.644486	-68.992759	-62.587696	-55.799409	-44.829701	-57.093081	-78.460211	-67.183529	-63.715961	-46.716834	-63.424651	-72.568639	-65.494645	-45.293584	-59.37437	-74.062351	-47.479928	-60.798861	-46.60269
516	-43.642274	-56.356491	-75.09434	-63.593502	-77.768314	-54.934205	-42.731917	-45.429042	-60.277653	-68.600395	-67.51866	-64.770687	-54.630217	-44.272068	-59.009887	-70.173343	-64.472257	-68.08254	-46.606732	-70.352392	-64.803805	-62.349071	-44.850555	-62.144391	-65.428271	-47.566697	-63.386434	-46.24055
520	-43.099753	-57.832611	-66.948763	-60.222624	-64.217555	-55.348066	-41.956559	-45.204657	-65.611133	-61.971911	-63.000317	-66.186129	-53.980717	-43.704008	-62.69711	-62.566383	-61.441562	-71.458563	-46.731809	-73.678806	-60.475994	-60.133421	-44.475094	-68.147996	-60.57668	-47.711295	-71.943437	-45.963387
524	-42.618553	-60.048536	-60.745578	-57.722692	-58.733092	-55.970925	-40.98015	-45.21095	-76.175018	-58.192776	-59.102903	-64.03598	-53.672044	-43.276597	-71.143046	-58.298698	-58.979755	-65.128463	-46.993768	-62.449987	-57.389582	-58.293232	-44.123198	-71.436056	-57.1132	-47.836418	-73.178774	-45.689944
528	-41.995603	-63.907871	-56.625248	-55.429966	-55.149909	-57.228952	-39.963182	-45.221239	-62.99972	-55.281325	-56.046807	-59.855615	-53.42708	-42.768939	-70.553397	-55.342371	-57.116048	-59.449333	-47.398901	-57.069058	-54.832738	-56.427826	-43.812595	-61.0136	-54.402754	-48.106783	-62.204794	-45.421601
532	-41.538702	-65.629644	-53.793997	-53.834005	-52.56477	-59.054029	-39.031007	-45.374978	-57.30139	-53.23347	-54.053751	-56.341103	-53.509209	-42.291139	-60.693351	-53.190109	-55.297172	-55.963943	-47.991628	-53.580131	-53.005916	-54.924835	-43.5454	-55.937623	-52.358988	-48.370074	-57.292111	-45.160652
536	-41.440588	-61.348317	-52.050177	-53.099436	-50.970463	-61.583267	-38.263136	-45.868304	-53.713062	-51.929693	-52.713732	-53.824956	-54.583089	-42.283284	-55.706715	-52.020687	-54.538212	-53.401725	-49.015854	-51.231733	-51.909988	-54.002306	-43.66841	-52.808999	-51.06086	-49.048329	-54.174281	-45.385865
540	-41.8437	-56.489147	-50.88714	-52.679604	-50.128226	-61.0441	-37.870588	-46.905346	-51.10909	-51.390847	-51.992117	-52.113932	-56.50899	-42.80564	-52.535418	-51.336875	-53.783478	-51.494059	-50.410947	-49.725848	-51.308304	-53.097048	-44.310331	-50.701063	-50.241682	-50.254911	-52.088256	-46.088142
544	-42.677715	-53.117626	-50.297537	-52.627102	-49.901452	-57.481679	-37.966221	-48.232136	-49.454519	-51.04584	-51.403157	-50.664913	-57.524075	-44.020674	-50.149493	-50.941755	-52.703306	-50.116283	-51.630941	-48.689863	-50.904365	-52.092895	-45.657791	-49.387915	-50.002552	-51.84444	-50.607404	-47.494719
548	-44.07901	-50.84557	-50.250547	-52.289444	-50.037323	-53.833408	-38.402039	-49.341339	-48.290563	-50.766932	-50.981349	-49.52567	-55.912268	-45.591922	-48.573376	-50.398728	-51.344086	-49.056872	-51.74256	-48.061355	-50.544659	-51.049974	-47.450531	-48.510125	-49.903932	-53.015102	-49.639952	-49.172808
552	-45.448702	-49.39678	-49.996994	-51.725381	-50.326016	-51.826848	-38.996878	-49.645097	-47.656772	-50.657748	-50.485038	-48.880809	-53.929639	-47.326372	-47.819974	-50.191936	-50.457615	-48.615267	-50.711628	-48.148583	-50.427988	-50.38132	-49.377626	-48.340401	-50.195886	-52.901968	-49.57978	-50.69872
556	-46.662633	-49.002717	-50.711214	-51.733511	-51.299715	-50.832479	-39.867502	-48.919531	-48.071185	-51.142163	-50.95434	-49.252273	-53.164662	-48.810944	-47.919834	-50.878964	-50.571117	-49.099315	-49.393381	-48.968404	-51.059253	-50.508418	-50.804322	-48.968312	-51.22815	-51.861941	-50.331482	-51.425297
